Username,Date,Content
s*****y,1/2/2024 17:09,"Value for Money:very cheap and good

Simcard sampai dalam keadaan yang baik. Penghantaran mengambil masa 3 hari je. Beli sebelum pegi korea, ambil pakej yang 4G unlimited utk 10 hari, sangat berbaloi. Arahan untuk aktifkan sangat mudah. Sampai je dkt airport busan, korea trus masukkan sim lps tu enable roaming data, trus ade internet. Nak maen ws, insta, tiktok , fb, twitter xde masalah xkne block pn. Nk vc ws pn okayyy laju je xde masalah pn. Cumanye bila maen game moba, ade lag skit sbb ping mencanak naik tak tahu la sbb ape huhu. Papepn, sape2 yg nak pegi korea simcard nie sgt highly remommended dr e sim sbb lagi murah. Lps tu total data interner yang diguna spnjng 10 hari dkt korea hanya 7 gb je tak smpt pn nk maen fon asyik jalan je pagi smpai mlm lps tu tido haha. Utk upload insta story anta gambar vid dkt ws tu ckup kot amek pakej sehari 1gb jeee kalo nk travel kt korea nieee papepun peace"
k*****7,26/11/2023 9:03,"Value for Money:Definitely worth it comparing the price to all other sellers.

Confirmed that item is as described. Used for the past 8 days. Speed is fast in Jeju and Busan. The card is a bit weird. It is under Malaysia mobile provider DIGI and all google search recommendation including advertisement shows Malaysia related content instaed of Korea while i am in Korea. My Samsung phone has pop up ""device plan"" alert showing 800Mb instead of 1Gb and 6 days validity instead of 8 days. I think it is safe to ignore becauseI have no issue of 8 days usage. Unable to hit 1Gb per day so couldn't validate 800Gb limit. Card printed expiration date is years ago but it is still usable. Overall I will buy from this seller again."
h*****i,15/3/2024 7:31,"Haven't try it in Korea, will update my review after that. But the packaging need to be improved"
_*****_,25/9/2023 14:09,Belum cuba. Postage agak lambat. 3hari lepas order baru pos. Mujur sempat sampai sblm bergerak ke sana.
b*****1,3/11/2023 13:57,"Value for Money:oklah

A bit disappointed as it shows 800mb only a day whereas when I bought it show me 1gb per day. Today was the 6th day in South Korea and it pop out showing 800mb.  Sorry as I can’t find the photo of the 800mb that why show inrellavant photos"
p___12,8/3/2024 7:07,"Value for Money:worth it

Internet is super fast. I have no problem using it even in the subway (underground level)

Note that it doesn't have number so you are not able to register any korean apps like Kakao or Naver."
f*****7,28/2/2024 21:21,"Value for Money:it's worth it if you use a lot of data when your at overseas

I think the data is fast enough to use the social media and you can even share hotspot to others too 👍"
shahizanshafie,23/10/2023 22:31,"Value for Money:not really

Ni simkad digi pakai roaming je kt korea.dh nama digi line pun slow.x berapa puas hati.better beli simkad kt airport je.tp dh beli tpaksa pakai je la dr membazir.nasib baik wifi hotel laju"
f*****7,28/2/2024 21:21,"Value for Money:it's worth it if you use a lot of data in overseas

The data is fast enough to use the social media and you can even share hotspot to others too 👍"
n*****1,12/11/2023 11:42,"U need to activate it online before your travel date..but otherwise works well during my trip..1gb/day is more than enough for normal browsing, whatsapp calls n texts, n some casual gaming."
v*****s,30/7/2023 21:06,"Value for Money:Yes

The delivery service very late. It make me scare purchase item again at shopee. Now I wil consider buy again if I got more than 2 weeks time to use it."
idaya1991,4/1/2024 9:55,"Value for Money:yes

So easy to use , thank you for creating this useful sim card. I have a good time having this card while travelling"
dienmuhamad,4/1/2024 11:45,"Value for Money:mantap

Boleh guna. dia mcm roaming ja tp function. internet laju kalah roaming pakai sim malaysia. X menyesal la kalau beli."
c*****3,22/2/2024 15:25,"Bought to use in Korea. Once reach Korea, change sim card and it can be direct use, super convenient. Line showed 5G. Satisfied and recommended."
saifuliqmal23,9/3/2024 2:20,"Value for Money:sangat berbaloi

Baru je pergi Korea minggu lepas, sim internet laju. Satu hari tak habis punya quota sebab asik berjalan jeee. Hehe."
n*****h,5/3/2024 12:08,"Value for Money:ok

Received after 3 days ordering. No manual not written which package we receive so couldnt confirm lol hopefully work well"
jasmonching,24/2/2024 20:31,"Value for Money:consider cheaper than roaming since I need it for 8 days

Great product and I got no issue enjoying 5G connection."
babebibobu_q,18/1/2024 18:42,"Value for Money:yes

Buy during sale so murah sikit. Internet laju di seoul & jeju. Mudah, masuk kan je terus on roaming."
r*****n,7/1/2024 1:41,not try yet. hope i can use it when i'm going to travel to Korea between 25 till 30 this month.
catherinechan83,2/11/2023 14:29,"SAYA BELI DUA JENIS KAD ,KAD INI TAK BERAPA BAIK SATU HARI 1GB CEPAT HABIS.SAYA KAD LAIN 3GB 7HARI PUN TAK HABIS"
julie_bong,25/2/2024 6:56,First time try this sim.  Hopefully work well at korean Seoul and jeju.  Wil update again after use it
m*****i,21/2/2024 9:26,"Value for Money:definitely

The SIM card is superb!! Now I don’t have to worry bout every time I travel."
dingthong,20/10/2023 22:53,"Value for Money:Economy

Ordered 11/10, Received 20/10.
Simple packaging, lucky not lost.
No instruction, hopefully able to use."
laitienchin,10/1/2024 20:56,"4G data speed can reach 3M/s
  I'm currently in Busan,  can buy it when u go Korea."
themythy,22/1/2024 21:08,"Use it for 7 days, and it works perfectly fine in the entire trip. Highly recommended"
h*****a,22/8/2023 21:03,"Value for Money:bagus tetapi penghantaran adalah kura kura mati ditengah jalan

Belum test lg. hujan bulan ni nak test"
christine6663,23/11/2023 23:15,"I am just came back from Korea, this sim card very good coverage ! recommend !"
anemzul,2/9/2023 17:19,Ordered on Wednesday and arrived on Saturday! So fast!! Thank youuu & hopefully it works in Korea :)
s*****_,21/11/2023 18:51,"Haven try yet, btw all condition is good when I received it, Thanks seller"
glenntang321,21/9/2023 8:21,"Value for Money:Good value for money

Good value for money
Slow abit delivery"
n*****6,20/11/2023 14:40,"Working as expected, came with adaptor. Great value for money."
sucaimeimei,3/2/2024 20:28,"A bit shock when receive this, have no cover or plastic inside...."
jcsfoon,31/1/2024 19:19,"Received in order, hope can use it smooth in next week"
officializzulislam,28/2/2024 18:24,internet lajuu line stable next time boleh repeat🙌🏼
shiehyen18,16/12/2023 14:57,Fast respond from seller and fast delivery
uzif6_kgff,10/2/2024 7:28,Sampai cepat. Good! Harap boleh Guna di Korea
oliviatay611,5/3/2024 13:36,Fast delivery. But haven’t start use.
a*****9,26/2/2024 15:50,Value for Money:Super fast delivery
nmok223l_u,29/5/2023 11:16,Seller is friendly kind and fast
swd51_7mma,5/5/2023 9:50,Have used it so good quality.
fannykw,11/2/2024 18:42,Bought 4 cards and all working wit coverage
b*****5,17/12/2023 16:20,"the SIM card work perfectly at Seoul, awesome!"
janneytks,14/1/2024 18:40,Best sim card that i used !
j*****0,2/3/2024 18:51,"Ok, but line unstable sometimes"
ivytee1,12/10/2023 18:45,totally cannot use，seller send exp sim card
a*****6,14/3/2024 18:45,"Sangat berbaloi beli!
Jangan la ada second doubt beli hahaha
Pasang masa atas flight. Lepas touch down buka on phone terus boleh guna ye
Memang mudah
Akan beli lagi"
c*****5,6/3/2024 2:04,Will use this for my coming Korea trip. Hope it works perfectly
izham_my,23/10/2023 20:53,"Value for Money:Yes Absolutely👍🏻👍🏻✅✅

Thanks to seller👍🏻👍🏻✅✅💯💯
I give 5 ⭐️⭐️⭐️⭐️⭐️"
n*****7,15/2/2024 4:28,"Umi telefon minta aku belikan beliau almari baju. Aku tanya nak macam mana, umi cakap tengoklah dekat shopee. 

Aku cakap lagi bagilah gambar, screenshot ke apa. Tak reti pulak katanya. Takpernah aku jumpa perempuan tak reti screenshot ni. Kah!

Aku pun belek design almari yang ada. Tunjuk dekat umi. Banyak pulak soalnya lebar berapa kaki, tinggi berapa cm, laci berapa tingkat, ada berapa warna, kayu ke plastik. 

Pening. 

Aku suruh umi senaraikan nak jenis apa, tinggi paras peha ke pinggang atau tengkuk, berapa tingkat dan warna. Senang tak pening kepala aku. 

Umi cakap nak kaler gray, laci tiga 3 tingkat. Tinggi paras pinggang. 

Last sekali aku beli ni je https://shope.ee/8A7lbQeOuH

Aku cakap lain kaler takde. Yang tinggal putih je. 4 tingkat. 

Hahahahahahahahaha."
suyiii,7/3/2024 17:54,
e*****e,2/12/2023 13:40,"Value for Money:hopefully can use

This card no Phone number, is roaming, hopefully can use during korea trip. Seller provide The container with pin for every card which is so useful where we can store our Sim card."
d*****0,1/2/2024 18:33,"Value for Money:dont know yet

seller send only the sim with the pin... didnt mention anything and no guide note 
pray hard it work on end of this month
tq
update after back from my trip"
toys_empire,11/1/2024 13:58,I’m going to go get my nails done at my house so you yowy don’t need me to do it for me I just got done with the
a*****7,16/10/2023 18:18,I bought 2 different location  sim card but it looks the same. Was a bit confusing. Havent try yet
taqizamri,14/12/2023 19:20,"Value for Money:cheaper than the others

Will try once i arrive in Korea. Hope it works well."
e*****g,8/2/2024 17:51,I’m not sure why I am doubting this SIM card…. Whether can use it or not 🤔🤔🤔
s*****2,23/2/2024 15:42,"Received the SIM card, after go travel come back will give feedback. Thanks to seller"
yeah41,2/3/2024 13:45,"Value for Money:Sgt berbaloi

Senang nak guna..roaming on..murah berbaloi la guna..n laju!"
k*****5,4/3/2024 14:49,Buy sim use at korea next month. Hopefully no issue during there
ezzax24,13/3/2024 7:37,"Value for Money:ngam..boleh guna

Pls set the roaming to enabled"
n9pb6f9gk2,29/5/2023 11:13,Got it from flash deals. Thumbs up. Will try the sim card when overseas.
genevieve_,29/1/2024 11:05,"很方便 很简单 很容易操作！很快收到🫡 
Data也很快，Fb WhatsApp Instagram 小红书都可以游览."
fannylaimeiyee,21/1/2024 22:11,东西已经收到了，商家很快就寄到了，还没开始用所以不知道是否能用😅希望这卡是Work的，不然我会被很多人骂😂
jchow79,25/3/2024 14:42,"Received in good condition, seller fast response to all my questions before I purchase, fast shipping, hope it works well on data connection & speed

Was planning to rent pocket wifi which is much cheaper on data rate, but to use at separate device when user at different location, it will lost connection with pocket wifi. So SIM card works better."
back2basic1212,31/12/2023 14:28,"Value for Money:yes

although the sim cars received had expired but seller assure it still can be use. not individual pack as received as photo in courier bag without manual need self print manual. Hopefully can improve by putting it in small plastic bag to avoid the sim being scratch during handling/ delivery

purchase with a good price- both are for my colleagues as i'm using roaming. easy to install - once put in sim card then can use after on roaming for sim 1 setting"
sh9988,18/3/2024 19:57,"Ordered 15/03, received on 18/03. First time buy from this seller. Purchase for early May Korea trip. Haven’t try so can’t comment much at this moment. First time received travel sim card in super simple way, without any package like other travel sim card, without manual user and not show is Korea n the data. May be due to cheaper prices compared others. Hopefully can use cause see reviews only decide purchase from this seller. Bit worry."
h*****1,1/3/2024 7:26,"Value for Money:murah dan laju

Guna line SK Telekom. Laju giler weh... Best sgt.. Dah lah murah.. Terbaik. Lepas ni senang lah nk g travel mana2 beli simkad ni je. Biasa bawa wifi router RoamingMan, leceh sbb besar dan nk kene bw powerbank sbb cpt hbs batt. Skg slot in je kat fon. Xyah pening2."
denniskua,26/3/2024 12:08,"Value for Money:don't know yet

Loose items, no brand, no packing, no instructions and only can incert when arrived Korea, hopefully can use....."
becky.tan,25/3/2024 20:25,"Value for Money:Lousy packing

Received as per pictures, not even have a proper factory packing. Not sure can used or not. Dun have confidence with this shop, dunt think will buy again from this ahop"
outlaw82,17/1/2024 16:25,"Value for Money:one of cheapest at time of purchase

Will use soon, so any issue will update this review later. 

For now, delivery was fast, SIM card came with pin for easy replacement. One of the more affordable choices at time of purchase, so hopefully will work great in Seoul. Thanks seller."
srdent,26/1/2024 20:21,"Value for Money:murah dari pass telco tempatan

Line laju dan ok. Saya guna di busan. Rasanya line csl hk. Tak kisah la janji bila on ja kat arrival hall mmg auto terus connect, no complicated setting diperlukan."
lfchang1984,6/3/2024 20:35,"Best price on Shopee, prompt delivery, functional product received, good communication, recommended seller"
aminurrashid34,11/2/2024 9:48,"Value for Money:tak pasti, kad belum guna

Kad diterima dalam keadaan yang memuaskan
Terima kasih kepada penjual
Terima kasih kepada kaurier
19/2/24 baru aktif kan"
1*****o,25/3/2024 21:22,"Value for Money:ok

not sure really good to use or not, seller didn't put the sim card in a paper cover as advertising, only one pcs simcard + pin only pack in courier plastic bag like not secure much"
norfarahmohdzin,6/3/2024 19:30,Simcard function well. Saya dh guna dekat korea!!! Sangat berguna dan laju!!
edwardwen1107,6/3/2024 7:39,"Receive in good condition, fast delivery from seller recommended"
m*****a,20/3/2024 20:00,"Sangat berbaloi beli!
Jangan la ada second doubt beli hahaha
Pasang masa atas flight. Lepas touch down buka on phone terus boleh guna ye
Memang mudah
Akan beli lagi
Line memang laju"
c*****h,23/3/2024 15:11,I just received my sim card and I will start using it on April 1st. Will update the review later. 🩵
leelixuan98,24/2/2024 16:03,Just now getting ready to collect the money to get ready for bed watching TV show on Netflix about you
m*****2,25/3/2024 22:09,"Received with good condition. Next month to Korea,  hope it works."
c*****2,19/3/2024 16:04,Fast delivery 🚚 good value for money and good quality for product
h*****m,15/2/2024 19:40,Value for money and the SIM card come with simple instructions and yet to install and use at South Korea
n*****i,3/1/2024 2:08,Terbaik seller mmg murah beli waktu sale thank u will repeat
n*****5,14/2/2024 11:03,Thank you dear seller..sim card safely arrived..easy to use it
s*****a,21/3/2024 7:53,"Value for Money:Cheaper than other Sellers but haven't used yet to test it's quality

Goods received in good condition. Recommended by friends who just back from Seoul. So I suppose it is good."
chongsian88,10/1/2024 20:06,"Value for Money:good

Thanks for quick delivery and good product quality, will buy again next time"
little.women,2/2/2024 8:24,"Value for Money:Haven't try yet

I bought this for Taiwan trip last year, it was very good and fast. I don't even need to use public wifi when I was in Taiwan  Hopefully the Korea sim card is as good too."
ewezuhang,25/3/2024 14:02,"Value for Money:parcel received in good

Thanks seller 
Happy with the purchase
Worth to buy"
n*****c,17/3/2024 20:21,"Value for Money:good

Request for fast delivery.. and it's received within 2 days. Thanks."
winnie6354,28/1/2024 21:31,Received but unable to test until travel date. Hope easy to connect. Thank you seller for the fast delivery. 👍
n*****p,13/3/2024 21:27,"2nd purchase with this seller. 
And seeing this plain card, will still have slight worry if the Sim card works 

Anyway, the first sim was great and cheap.
Hopefully this works well too."
j*****h,9/3/2024 21:02,"Value for Money:good

data very fast and easy to use！
recommend！！unlimitted data 😍😍"
r*****n,11/3/2024 17:25,"Value for Money:buy 2 Sim cards for forthcoming trip to Naju and Busan.

Korea trip will be in 3 weeks time, so not yet use. Fingers cross they work well. Will give feedback after back fr Korea."
supperbugerbits,20/1/2024 23:09,"Value for Money:very high speed

Dah try sangat bagus , internet and hotspot yang laju no buffer. Really recommended"
n*****4,20/3/2024 18:41,"Value for Money:The packaging is so insincere. The chips could go bad, but they didn't put them in the small bag."
a*****_,19/3/2024 18:58,Fast delivery is very good but seller just put the items into a parcel bag without any packaging...I think it's not safely...hope can improve...
g*****4,21/3/2024 21:23,Received with fast delivery! Bought with very urgent need and seller good and expedite the process of delivery
0*****n,21/3/2024 19:52,"Fast delivery. Received the sim. However, no other things other than picture attach. Hopefully can be used."
3*****p,22/3/2024 5:52,"价钱便宜，值得买，送貨又快…
The price is cheap, worth buying, and the delivery is fast...i"
ekming2008,20/2/2024 23:34,"Value for Money:Good value for money

Seller takes good efforts to pack the items nicely and thanks for the speedy delivery. Will update again after using it and returned from overseas."
cheahyc,23/2/2024 7:34,"Value for Money:unlimited 4G internet access in Korea

Use it on my iPhone 7 as a personal hotspot for a group of 4. Insert SIM, turn on mobile roaming, just work.
Try it in to navigate around Jeju north city area, driving, walking. It was fantastic.
The following update was in Seoul:
Although it is 5G service but the speed is capped at 24Mbps, which is more than enough for browsing, map, and navigation using Kakao map.
We use about 7GB per person with full speed all days"
sehseetiung,23/11/2023 3:28,行吧那你不是有人吗好的我知道的太多我一个同学一起的这么早起来就去睡觉啊什么都好的时候我在等等啊你现在在干嘛呢老婆我爱你大哥我在吃东西呢我现在就是在哪个医院了吧？我也不想知道。
sehseetiung,24/10/2023 10:46,天啊什么意思呀我也不敢不敢给我知㇏道啊？我也不想说什么呢还是不行了，我就不打扰你的吧应该吧嗯好的好的，！我也不会去想了半天不说话我的意思吗你是做什么的都是什么人啊？我在等公交车去啊？我就不发给我看一下吧一起玩了一局王者来不来王者的我都喜欢
c*****s,6/12/2023 14:46,"will use it later in korea, hope can be used"
momoko0418,22/1/2024 16:18,
y*****g,8/1/2024 23:33,
shuting910605,16/3/2024 19:44,Good signals and stability!
